X,Y,Z,sigmaX,sigmaY,sigmaZ,offset
TARGET223,-18.2105,14.9499,-0.1080,0.0003,0.0003,0.0004,0.0000
TARGET224,-24.7056,12.1305,-0.1591,0.0003,0.0003,0.0004,0.0000
TARGET225,-12.3321,13.6619,-0.0617,0.0004,0.0003,0.0004,0.0000
TARGET226,-30.3085,10.0041,-0.2095,0.0003,0.0003,0.0004,0.0000
TARGET227,-21.0280,10.8517,-0.1246,0.0003,0.0003,0.0004,0.0000
TARGET228,-57.0535,5.8427,-1.9689,0.0004,0.0003,0.0004,0.0000
TARGET229,-13.3380,10.2906,-0.0653,0.0003,0.0003,0.0004,0.0000
TARGET230,-26.0157,8.5115,-0.1675,0.0003,0.0003,0.0004,0.0000
TARGET231,-17.1189,9.4806,-0.0929,0.0003,0.0003,0.0004,0.0000
TARGET232,-46.7021,3.8559,-1.7768,0.0004,0.0003,0.0004,0.0000
TARGET233,-23.3069,5.7878,-0.1406,0.0003,0.0003,0.0004,0.0000
TARGET234,-28.6326,4.9602,-0.1917,0.0004,0.0003,0.0004,0.0000
TARGET235,-18.6740,4.7989,-0.1026,0.0003,0.0003,0.0004,0.0000
TARGET236,-37.7977,0.3680,-1.7495,0.0004,0.0003,0.0004,0.0000
TARGET237,-15.6402,2.9361,-0.0800,0.0003,0.0003,0.0004,0.0000
TARGET238,-26.7016,1.3938,-0.1756,0.0004,0.0003,0.0004,0.0000
TARGET239,-29.4126,-1.0043,-0.2080,0.0004,0.0003,0.0004,0.0000
TARGET240,-18.4974,0.1577,-0.1057,0.0003,0.0003,0.0004,0.0000
TARGET241,-24.9239,-2.8358,-0.1667,0.0003,0.0003,0.0004,0.0000
TARGET242,-30.1875,-6.0083,-0.2308,0.0004,0.0003,0.0004,0.0000
TARGET243,-17.9669,-4.8646,-0.1109,0.0003,0.0003,0.0004,0.0000
TARGET244,-25.8130,-6.5277,-0.1867,0.0003,0.0003,0.0004,0.0000
TARGET245,-21.8941,-7.0522,-0.1514,0.0003,0.0003,0.0004,0.0000
TARGET246,-16.9116,-8.9420,-0.1160,0.0003,0.0003,0.0004,0.0000
TARGET247,-27.8393,-10.5602,-0.2257,0.0004,0.0003,0.0004,0.0000
TARGET248,-5.4949,-9.1488,-0.0443,0.0003,0.0003,0.0004,0.0000
TARGET249,-24.2945,-13.6350,-0.2044,0.0003,0.0003,0.0004,0.0000
TARGET250,-30.2409,-15.8259,-0.2812,0.0004,0.0003,0.0004,0.0000
TARGET251,-19.2731,-17.5939,-0.1804,0.0003,0.0003,0.0004,0.0000
TARGET252,-25.4680,-18.3521,-0.2444,0.0003,0.0003,0.0004,0.0000
TARGET253,-23.7437,-21.2810,-0.2463,0.0004,0.0003,0.0004,0.0000
TARGET254,-20.1829,-22.7471,-0.2225,0.0003,0.0003,0.0004,0.0000
TARGET255,-24.9171,-49.2841,-3.4184,0.0005,0.0004,0.0007,0.0000
TARGET256,-28.2773,-57.7020,-3.8166,0.0005,0.0004,0.0008,0.0000
TARGET257,-26.4803,-66.9036,-4.3151,0.0005,0.0005,0.0009,0.0000
TARGET260,-62.1978,-73.7105,28.5484,0.0004,0.0003,0.0005,0.0000
TARGET261,-41.1866,-64.4949,29.1134,0.0004,0.0003,0.0004,0.0000
TARGET262,-48.1369,-64.5382,29.0513,0.0003,0.0003,0.0004,0.0000
TARGET263,-56.8173,-64.2292,28.9504,0.0004,0.0003,0.0004,0.0000
TARGET264,-67.7354,-63.5377,28.9261,0.0004,0.0003,0.0004,0.0000
TARGET265,-53.1305,-58.9285,29.2304,0.0004,0.0003,0.0004,0.0000
TARGET266,-48.3630,-56.0820,29.4112,0.0004,0.0003,0.0004,0.0000
TARGET267,-44.4179,-54.8937,29.5024,0.0004,0.0003,0.0004,0.0000
TARGET268,-57.4191,-55.2497,29.3145,0.0004,0.0003,0.0004,0.0000
TARGET269,-69.3805,-58.2668,29.1314,0.0004,0.0003,0.0004,0.0000
TARGET270,-47.3427,-49.7629,29.6880,0.0003,0.0002,0.0003,0.0000
TARGET271,-42.2643,-46.3852,29.8799,0.0003,0.0002,0.0003,0.0000
TARGET272,-64.3250,-51.5419,29.4242,0.0004,0.0003,0.0004,0.0000
TARGET273,-54.4942,-43.0452,29.8711,0.0003,0.0002,0.0003,0.0000
TARGET274,-42.1774,-38.2854,30.2182,0.0003,0.0002,0.0003,0.0000
TARGET275,-49.8807,-37.3933,30.1705,0.0003,0.0002,0.0003,0.0000
TARGET276,-65.2660,-39.2413,29.9157,0.0003,0.0002,0.0004,0.0000
TARGET277,0.4641,-18.9338,-0.0667,0.0003,0.0003,0.0004,0.0000
TARGET278,36.0751,9.5990,-1.1714,0.0005,0.0004,0.0005,0.0000
TARGET279,15.5783,10.9509,0.0323,0.0004,0.0003,0.0004,0.0000
TARGET280,-1.0415,6.6062,0.0006,0.0003,0.0003,0.0004,0.0000
TARGET281,8.6395,12.5067,0.0245,0.0004,0.0003,0.0004,0.0000
TARGET282,-67.8301,7.4989,-1.7592,0.0004,0.0004,0.0005,0.0000
TARGET283,-41.4354,-73.6499,28.7162,0.0004,0.0003,0.0004,0.0000
TARGET284,-55.1758,-75.1369,28.5225,0.0004,0.0003,0.0004,0.0000
TARGET285,-56.8351,-47.2383,29.6545,0.0003,0.0002,0.0003,0.0000
TARGET286,-69.8071,-47.7600,29.5455,0.0004,0.0002,0.0004,0.0000
TARGET287,-63.0785,-45.5180,29.6657,0.0004,0.0002,0.0004,0.0000
TARGET288,-22.6217,0.7582,-0.1388,0.0003,0.0003,0.0004,0.0000
TARGET289,-70.8074,-68.0212,28.7115,0.0004,0.0003,0.0005,0.0000
TARGET290,-73.1124,-62.4232,28.9284,0.0004,0.0003,0.0005,0.0000
